school,sex,address,Medu,Fedu,Mjob,reason,traveltime,studytime,failures,higher,internet,Dalc,Walc,absences
0,0,0,2,2,3,0,1,3,0,1,1,2,2,0
0,0,0,3,3,3,3,1,3,0,1,1,1,1,4
0,0,1,4,2,4,3,1,4,0,1,1,1,1,2
0,0,1,4,4,3,2,1,2,0,1,1,1,1,2
0,0,0,4,4,3,2,1,1,0,1,0,1,2,6
0,0,0,4,4,3,3,2,3,0,1,1,1,1,0
1,1,1,3,2,2,2,2,2,0,1,1,2,2,0
0,0,1,3,4,2,0,1,1,0,1,1,1,1,4
0,0,1,4,3,3,0,1,2,0,1,1,1,2,14
0,0,1,1,2,2,3,1,2,0,1,1,1,1,0
0,0,1,2,2,0,0,4,2,0,1,0,1,1,2
1,0,1,1,2,0,0,2,2,2,1,0,1,1,2
0,0,1,4,3,3,3,1,2,0,1,1,1,1,0
1,1,1,2,2,3,2,4,3,0,1,0,2,2,0
0,0,1,3,2,2,0,1,2,0,1,0,1,1,4
0,1,1,4,4,4,1,1,2,0,1,1,2,2,0
0,0,0,3,2,2,1,2,2,0,0,1,1,1,15
1,1,0,1,1,0,2,2,1,0,1,0,3,4,6
0,1,1,3,2,2,1,1,1,0,1,1,1,1,4
1,0,0,1,1,0,0,2,1,0,0,1,2,2,3
0,0,0,1,1,0,0,3,1,3,1,0,1,5,6
0,0,1,2,2,2,1,1,2,0,1,1,1,1,0
0,1,0,3,2,3,3,2,3,0,1,1,1,1,0
1,1,1,2,1,1,2,2,2,0,1,1,1,4,2
0,1,1,4,2,1,0,2,2,0,1,1,1,1,9
0,0,1,2,1,2,3,2,2,0,1,1,1,1,10
0,0,1,1,0,2,3,2,1,1,1,1,1,1,5
1,0,1,3,1,2,0,1,1,0,1,1,1,3,0
0,0,0,2,1,2,0,2,2,0,0,1,1,2,8
0,1,1,2,3,2,1,2,1,0,1,1,1,1,0
0,1,1,4,3,4,0,2,2,0,1,1,4,4,0
0,1,1,4,4,2,3,2,2,0,1,0,1,1,4
1,0,0,1,1,0,0,2,2,1,1,1,1,1,4
0,1,0,1,1,2,0,4,2,0,0,0,1,5,0
1,0,0,1,1,0,3,2,1,0,1,1,1,2,0
1,0,1,1,1,0,0,1,3,1,0,0,1,1,6
0,0,0,1,1,0,3,2,4,0,1,0,1,1,2
1,1,0,1,2,2,0,2,2,0,1,0,1,1,0
0,1,1,3,1,3,2,1,1,3,0,1,5,5,12
1,1,0,2,2,2,0,3,1,1,1,1,1,2,0
1,1,1,3,3,3,0,2,1,0,1,1,2,4,11
0,0,1,4,2,1,1,1,3,0,1,1,1,1,0
1,0,1,4,3,4,2,2,2,0,1,1,1,1,0
1,0,0,3,3,3,3,1,2,0,1,1,1,1,4
0,1,1,3,4,3,1,1,1,0,1,1,3,2,2
1,0,0,4,4,4,0,1,2,0,1,1,3,4,1
0,1,1,4,4,4,1,1,1,0,1,1,2,2,0
0,1,0,2,2,2,2,2,1,0,0,0,1,1,0
0,0,1,3,2,0,3,1,3,0,1,1,1,2,5
0,1,1,4,3,4,0,2,1,0,1,1,1,2,0
1,0,0,4,4,4,0,2,1,0,1,1,3,5,0
1,1,1,2,3,2,1,2,2,0,1,1,1,1,4
0,0,0,1,1,0,0,4,2,0,1,0,1,1,0
1,0,1,2,3,0,0,2,1,0,1,1,1,2,0
0,1,1,4,2,2,0,1,4,0,1,1,1,1,0
